m,alpha,empirical_rate
22,0.126984418521,0.093500436812
22,0.130081599460,0.087306074933
22,0.133178780400,0.081111713054
22,0.136275961339,0.075393519306
22,0.139373142279,0.069973452662
22,0.142470323218,0.064553386018
22,0.145567504158,0.059133319374
22,0.148664685097,0.053713252729
22,0.151761866037,0.048293186085
22,0.154859046976,0.043597765754
22,0.157956227916,0.038951994345
22,0.161053408855,0.034306222936
22,0.164150589795,0.029660451526
22,0.167247770734,0.025493474890
22,0.170344951674,0.021621998715
22,0.173442132613,0.017750522541
22,0.176539313553,0.014180631882
22,0.179636494493,0.011083450942
22,0.182733675432,0.007986270003
22,0.185830856372,0.005616774654
22,0.188928037311,0.003316119200
22,0.192025218251,0.001767528731
22,0.195122399190,0.000600376371
22,0.198219580130,-0.000000000000
22,0.199269284929,-0.000000000000
22,0.201316761069,0.000119534962
22,0.204413942009,0.001075406803
22,0.207511122948,0.002958493656
22,0.210608303888,0.005911514482
22,0.213705484827,0.010190024570
22,0.216802665767,0.016100176913
22,0.219899846706,0.023867182972
22,0.222997027646,0.034009846453
22,0.226094208585,0.047038819083
22,0.229191389525,0.063751435049
22,0.232288570464,0.085375876175
22,0.235385751404,0.113858923348
22,0.238482932343,0.150227606470
22,0.241580113283,0.187393777745
22,0.244677294223,0.224559949019
22,0.247774475162,0.261726120293
26,0.000000000000,0.452112630269
26,0.003083393729,0.439779055351
26,0.006166787459,0.427445480434
26,0.009250181188,0.415111905516
26,0.012333574918,0.403331324862
26,0.015416968647,0.392090176995
26,0.018500362376,0.381298298942
26,0.021583756106,0.370836193700
26,0.024667149835,0.360815164079
26,0.027750543565,0.350794134459
26,0.030833937294,0.341038673110
26,0.033917331023,0.331788491922
26,0.037000724753,0.322538310733
26,0.040084118482,0.313288129545
26,0.043167512212,0.304037948357
26,0.046250905941,0.295290212759
26,0.049334299671,0.286810880004
26,0.052417693400,0.278331547248
26,0.055501087129,0.269852214492
26,0.058584480859,0.261372881736
26,0.061667874588,0.252893548980
26,0.064751268318,0.244414216224
26,0.067834662047,0.236701589003
26,0.070918055776,0.228993104680
26,0.074001449506,0.221284620356
