m,alpha,I_m
20,0.146609492337492,0.053891945416842
20,0.149094398987280,0.049837219486741
20,0.151579305637068,0.045861368847080
20,0.154064212286856,0.041947049403490
20,0.156549118936644,0.038219689428808
20,0.159034025586432,0.034506070191609
20,0.161518932236220,0.031027200881906
20,0.164003838886008,0.027570246625381
20,0.166488745535796,0.024339867980657
20,0.168973652185584,0.021190336076569
20,0.171458558835372,0.018208448096823
20,0.173943465485160,0.015411603261335
20,0.176428372134948,0.012758848465088
20,0.178913278784736,0.010285075110930
20,0.181398185434524,0.008048659126121
20,0.183883092084312,0.006032741807152
20,0.186367998734100,0.004252603178993
20,0.188852905383888,0.002731212305843
20,0.191337812033676,0.001536156388319
20,0.193822718683464,0.000652861360219
20,0.196307625333252,0.000121986963627
20,0.198241602334182,0.000000000000000
20,0.198792531983040,0.000000000000000
20,0.201277438632828,0.000338991726662
20,0.203762345282616,0.001177947907330
20,0.206247251932404,0.002611228966262
20,0.208732158582192,0.004682037745078
20,0.211217065231980,0.007499671948122
20,0.213701971881768,0.011159777788686
20,0.216186878531556,0.015804194742851
20,0.218671785181344,0.021571771808938
20,0.221156691831132,0.028651216463211
20,0.223641598480920,0.037275536637632
20,0.226126505130708,0.047722038038682
20,0.228611411780496,0.060364525488123
20,0.231096318430284,0.075702238376281
20,0.233581225080072,0.094449353474407
20,0.236066131729860,0.117716097827314
20,0.238551038379648,0.146490465593827
20,0.241035945029436,0.176309345391283
20,0.243520851679224,0.206128225188739
20,0.246005758329012,0.235947104986194
20,0.248490664978800,0.265765984783650
24,0.000000000000000,0.458547171952552
24,0.002471768828103,0.442971727338306
24,0.004943537656207,0.430968559765441
24,0.007415306484310,0.420206526097773
24,0.009887075312413,0.410153938970190
24,0.012358844140517,0.400630234657798
24,0.014830612968620,0.391473661314888
24,0.017302381796723,0.382636255497916
24,0.019774150624827,0.374041094602079
24,0.022245919452930,0.365642256971348
24,0.024717688281033,0.357485419838607
24,0.027189457109137,0.349475776226802
24,0.029661225937240,0.341566115976871
24,0.032132994765343,0.333882230002395
24,0.034604763593447,0.326219746635274
24,0.037076532421550,0.318788828102729
24,0.039548301249653,0.311373521618419
